id,name,address,district,lat,lng,phone,hours,rating,review_count,website,google_maps_url,source,is_verified,created_at
25,Hiệu Vàng Vân,"chỉ: 201 Ông Ích Đường, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam",Cẩm Lệ,,,+84 236 3846 193,,4.3,19,,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+V%C3%A2n/data=!4m7!3m6!1s0x31421a268191c825:0xb728bfea595f305d!8m2!3d16.0151877!4d108.2054161!16s%2Fg%2F1td3nzg1!19sChIJJciRgSYaQjERXTBfWeq_KLc?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:03
26,Đồ Cúng Vàng Mã Đà Nẵng Mạnh Hà,"chỉ: 35 Huỳnh Tấn Phát, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Việt Nam",Hải Châu,,,+84 905 038 855,,4.9,64,https://www.facebook.com/docungvangmadanangmanhha,https://www.google.com/maps/place/%C4%90%E1%BB%93+C%C3%BAng+V%C3%A0ng+M%C3%A3+%C4%90%C3%A0+N%E1%BA%B5ng+M%E1%BA%A1nh+H%C3%A0/data=!4m7!3m6!1s0x314219ed28f2e68f:0x1b948636198c3a7f!8m2!3d16.0380336!4d108.2141047!16s%2Fg%2F11g6rd0v26!19sChIJj-byKO0ZQjERfzqMGTaGlBs?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:07
27,Tiệm Vàng Soạn Hà,"chỉ: 121 Trần Phú, Phường, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3825 296,,4.2,339,,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+So%E1%BA%A1n+H%C3%A0/data=!4m7!3m6!1s0x314219005fc02995:0xe7be8f1f318889a7!8m2!3d16.0678495!4d108.2239418!16s%2Fg%2F11w8vdf5ns!19sChIJlSnAXwAZQjERp4mIMR-Pvuc?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:11
28,Tiệm Vàng Tâm Thịnh Lợi,"chỉ: 34 Nguyễn Thái Học, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3539 252,,2.8,46,,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+T%C3%A2m+Th%E1%BB%8Bnh+L%E1%BB%A3i/data=!4m7!3m6!1s0x314218392c84dbe3:0xea079f12dd7563c1!8m2!3d16.0681732!4d108.2237287!16s%2Fg%2F11c1t5p2x5!19sChIJ49uELDkYQjERwWN13RKfB-o?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:15
29,DNTN Hiệu Vàng Thái Hòa II,"chỉ: 25 Nguyễn Duy Hiệu, An Hải Đông, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sơn Trà,,,+84 888 825 979,,4.2,56,https://www.facebook.com/share/15xRBwKdjm/,https://www.google.com/maps/place/DNTN+Hi%E1%BB%87u+V%C3%A0ng+Th%C3%A1i+H%C3%B2a+II/data=!4m7!3m6!1s0x31421783c8d73c55:0x2d10ae95346fdaea!8m2!3d16.0554373!4d108.2378076!16s%2Fg%2F11sh7cqkkj!19sChIJVTzXyIMXQjER6tpvNJWuEC0?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:20
30,Cửa Hàng Trang Sức PNJ 455 Núi Thành Đà Nẵng,"chỉ: 455, Núi Thành, P. Hòa Cường Nam, Q. Hải Châu 45 TP, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3627 588,,4.9,455,https://www.pnj.com.vn/,https://www.google.com/maps/place/C%C6%B0%CC%89a+Ha%CC%80ng+Trang+S%C6%B0%CC%81c+PNJ+455+Nu%CC%81i+Tha%CC%80nh+%C4%90a%CC%80+N%C4%83%CC%83ng/data=!4m7!3m6!1s0x3142190891092a01:0x53d655592bea10d0!8m2!3d16.0368318!4d108.2224903!16s%2Fg%2F11jfzkh7rd!19sChIJASoJkQgZQjER0BDqK1lV1lM?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:25
31,Tiệm Vàng Phúc Huy,"chỉ: 350 Ông Ích Khiêm, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,,,3.8,54,https://www.facebook.com/profile.php?id=100063518712798&mibextid=ZbWKwL,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+Ph%C3%BAc+Huy/data=!4m7!3m6!1s0x3142184a7f936b3b:0xfd2f449fe71f98af!8m2!3d16.0675891!4d108.2138324!16s%2Fg%2F1hc18hn88!19sChIJO2uTf0oYQjERr5gf559EL_0?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:29
32,Trung Tâm Vàng Bạc Đá Quý DOJI,"chỉ: 133 Trần Phú, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3538 989,,4.7,65,,https://www.google.com/maps/place/Trung+T%C3%A2m+V%C3%A0ng+B%E1%BA%A1c+%C4%90%C3%A1+Qu%C3%BD+DOJI/data=!4m7!3m6!1s0x314219882fe9031d:0x223e3033548a7b1a!8m2!3d16.0675202!4d108.2238896!16s%2Fg%2F11k45s2rpg!19sChIJHQPpL4gZQjERGnuKVDMwPiI?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:33
33,Cửa Hàng Trang Sức PNJ 165 Nguyễn Văn Thoại Đà Nẵng,"chỉ: 165 Nguyễn Văn Thoại, P, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sơn Trà,,,+84 1800 545457,,4.9,165,https://www.pnj.com.vn/,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+165+Nguy%E1%BB%85n+V%C4%83n+Tho%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142175fbcc0a333:0x1b0dd10f28f74e89!8m2!3d16.0551951!4d108.2418529!16s%2Fg%2F11jfzkddbl!19sChIJM6PAvF8XQjERiU73KA_RDRs?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:38
34,Hạnh Hòa Jewelry & Diamond,"chỉ: 135 137 Hùng Vương, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 905 444 229,,4.1,34,http://www.hanhhoa.vn/,https://www.google.com/maps/place/H%E1%BA%A1nh+H%C3%B2a+Jewelry+%26+Diamond/data=!4m7!3m6!1s0x314218344db1fe77:0x2d3372360430d754!8m2!3d16.067752!4d108.217001!16s%2Fg%2F1td_dqs0!19sChIJd_6xTTQYQjERVNcwBDZyMy0?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:42
35,Cửa Hàng Trang Sức PNJ Center 70 - 72 Trần Phú,"chỉ: 72 Trần Phú, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 1800 545457,,4.9,70,https://www.pnj.com.vn/,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+Center+70+-+72+Tr%E1%BA%A7n+Ph%C3%BA/data=!4m7!3m6!1s0x31421831915e3031:0x404aff43ddfca36a!8m2!3d16.0701398!4d108.2238722!16s%2Fg%2F1tdz295b!19sChIJMTBekTEYQjERaqP83UP_SkA?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:47
36,Tiệm Vàng Phú Lộc,"chỉ: 350 Ngũ Hành Sơn, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam",Ngũ Hành Sơn,,,,,3.2,26,,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+Ph%C3%BA+L%E1%BB%99c/data=!4m7!3m6!1s0x314210bf31849567:0x2cbd4fd63edc2daa!8m2!3d16.0413537!4d108.2411567!16s%2Fg%2F11h6g4y238!19sChIJZ5WEMb8QQjERqi3cPtZPvSw?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:51
37,Hiệu Vàng Kim Yến Hương,"chỉ: khu F chợ Hà Thân, Triệu Việt Vương, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sơn Trà,,,+84 914 181 619,,4.3,229,,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+Kim+Y%E1%BA%BFn+H%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3142182ca2c81a0f:0x9aba3451c56e0ad!8m2!3d16.0645103!4d108.2307849!16s%2Fg%2F11h414gp9b!19sChIJDxrIoiwYQjERreBWHEWjqwk?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:35:56
38,Tiệm Bạc Ánh Kim,"chỉ: 313 Trưng Nữ Vương, Bình Thuận, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 901 909 783,,4.9,58,,https://www.google.com/maps/place/Ti%E1%BB%87m+B%E1%BA%A1c+%C3%81nh+Kim/data=!4m7!3m6!1s0x314219c7ca7e601d:0x2a7e287bc54601dd!8m2!3d16.0517487!4d108.2169257!16s%2Fg%2F11bccm0_80!19sChIJHWB-yscZQjER3QFGxXsofio?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:00
39,Tiệm Vàng Thanh Thanh Sơn,"chỉ: 79 Nguyễn Văn Thoại, An Hải, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sơn Trà,,,,,3.3,64,,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+Thanh+Thanh+S%C6%A1n/data=!4m7!3m6!1s0x314219d7d032c4a7:0x58ea179cfc15a926!8m2!3d16.0543191!4d108.2387482!16s%2Fg%2F11fnwj044w!19sChIJp8Qy0NcZQjERJqkV_JwX6lg?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:04
40,Cửa Hàng Trang Sức PNJ Lotte Mart Đà Nẵng,"chỉ: Lô 1F, tầng trệt LOTTE Mart, 06 Nại Nam, P, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 1800 545457,,4.9,301,https://www.pnj.com.vn/,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+Lotte+Mart+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219e43199aed7:0x7fb1829adf8b72fe!8m2!3d16.0347647!4d108.2295008!16s%2Fg%2F11gcqwm8zh!19sChIJ166ZMeQZQjER_nKL35qCsX8?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:09
41,Công ty TNHH MTV Vàng bạc Đá quý Sài Gòn (SJC) - cn Miền Trung,"chỉ: 185 Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3584 567,,3.4,72,,https://www.google.com/maps/place/C%C3%B4ng+ty+TNHH+MTV+V%C3%A0ng+b%E1%BA%A1c+%C4%90%C3%A1+qu%C3%BD+S%C3%A0i+G%C3%B2n+%28SJC%29+-+cn+Mi%E1%BB%81n+Trung/data=!4m7!3m6!1s0x314219ca0ae5f925:0xe2d91e176f890e5e!8m2!3d16.0601672!4d108.2142064!16s%2Fg%2F11b67k0kn9!19sChIJJfnlCsoZQjERXg6Jbxce2eI?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:13
42,Tiệm Vàng Kim Bảo Huy,"chỉ: 5 Mỹ Đa Đông 2, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam",Ngũ Hành Sơn,,,,,3.7,21,,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+Kim+B%E1%BA%A3o+Huy/data=!4m7!3m6!1s0x31421760e781e251:0x968b2d89cfce4bbd!8m2!3d16.0419925!4d108.2421873!16s%2Fg%2F11b696gzd6!19sChIJUeKB52AXQjERvUvOz4kti5Y?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:18
43,Nhật Phương Silver jewelry,"chỉ: 298 Phạm Cự Lượng, An Hải Đông, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sơn Trà,,,+84 935 236 691,,4.0,66,,https://www.google.com/maps/place/Nh%E1%BA%ADt+Ph%C6%B0%C6%A1ng+Silver+jewelry/data=!4m7!3m6!1s0x314217f5acac1ddf:0x9c1f35996fa626f4!8m2!3d16.0548096!4d108.2378098!16s%2Fg%2F11rvgm4lpg!19sChIJ3x2srPUXQjER9Camb5k1H5w?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:22
44,Trung tâm Vàng bạc Trang sức DOJI,"chỉ: 172 Hùng Vương, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3849 466,,4.3,66,,https://www.google.com/maps/place/Trung+t%C3%A2m+V%C3%A0ng+b%E1%BA%A1c+Trang+s%E1%BB%A9c+DOJI/data=!4m7!3m6!1s0x3142190777ee6b03:0x3a164aa368fb59b6!8m2!3d16.0681827!4d108.2180145!16s%2Fg%2F11gmgbnzz2!19sChIJA2vudwcZQjERtln7aKNKFjo?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:27
45,NGOC VAN KHOA Jewelry Shop,"chỉ: 245 Trưng Nữ Vương, Bình Thuận, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 933 858 444,,4.8,30,,https://www.google.com/maps/place/NGOC+VAN+KHOA+Jewelry+Shop/data=!4m7!3m6!1s0x314219a32f4a9325:0xe5fbb622d8cfed47!8m2!3d16.052959!4d108.2183944!16s%2Fg%2F11rfs8vvw1!19sChIJJZNKL6MZQjERR-3P2CK2--U?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:31
46,Hoa Kim Nguyên Con Jewelry,"chỉ: 311 Trưng Nữ Vương, phường Hòa Thuận Đông, 311 Trưng Nữ Vương, Bình Thuận, Hải Châu, Đà Nẵng 50215, Việt Nam",Hải Châu,,,+84 236 3617 420,,3.9,35,,https://www.google.com/maps/place/Hoa+Kim+Nguy%C3%AAn+Con+Jewelry/data=!4m7!3m6!1s0x314219310a6ed523:0x858a7b1afdbf526e!8m2!3d16.0517387!4d108.2169318!16s%2Fg%2F11s10cx3p6!19sChIJI9VuCjEZQjERblK__Rp7ioU?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:35
47,CÔNG TY TNHH GOLDEN PASTRY BÁNH VÀNG VIỆT NAM,"chỉ: 195 Mạc Đăng Doanh, Hoà Xuân, Cẩm Lệ, Đà Nẵng 550000, Việt Nam",Cẩm Lệ,,,+84 983 080 609,,5.0,0,http://banhvang.vn/,https://www.google.com/maps/place/C%C3%94NG+TY+TNHH+GOLDEN+PASTRY+B%C3%81NH+V%C3%80NG+VI%E1%BB%86T+NAM/data=!4m7!3m6!1s0x31421bbad8d939db:0xb334618b3afa8e6c!8m2!3d16.0133838!4d108.2231444!16s%2Fg%2F11hyn6dzw_!19sChIJ2znZ2LobQjERbI76OothNLM?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:39
48,Cửa Hàng Trang Sức PNJ 347 Nguyễn Hữu Thọ - Đà Nẵng,"chỉ: 347 Nguyễn Hữu Thọ, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam",Cẩm Lệ,,,+84 1800 545457,,4.9,347,http://pnj.com.vn/,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+347+Nguy%E1%BB%85n+H%E1%BB%AFu+Th%E1%BB%8D+-+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142190c129188df:0xa9265ec6cf487b53!8m2!3d16.0370689!4d108.2102708!16s%2Fg%2F11tx717vnd!19sChIJ34iREgwZQjERU3tIz8ZeJqk?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:44
49,Cửa Hàng Vàng Bạc & Điện Máy Ngọc Khương,"chỉ: 213 Ông Ích Đường, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam",Cẩm Lệ,,,+84 236 3846 194,,3.0,0,,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+V%C3%A0ng+B%E1%BA%A1c+%26+%C4%90i%E1%BB%87n+M%C3%A1y+Ng%E1%BB%8Dc+Kh%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x31421a2429776ed5:0xd8690cb32e64301!8m2!3d16.0147249!4d108.2055465!16s%2Fg%2F1v5_6xh3!19sChIJ1W53KSQaQjERAUPmMsuQhg0?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:48
50,DNTN Hiệu Vàng Kiều Oanh Hạnh,"chỉ: 241 Ông Ích Khiêm, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3865 186,,5.0,9,,https://www.google.com/maps/place/DNTN+Hi%E1%BB%87u+V%C3%A0ng+Ki%E1%BB%81u+Oanh+H%E1%BA%A1nh/data=!4m7!3m6!1s0x3142184a096731e7:0xa63fed11afb60f85!8m2!3d16.0693251!4d108.2137594!16s%2Fg%2F11n6zksd28!19sChIJ5zFnCUoYQjERhQ-2rxHtP6Y?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:52
51,Doanh Nghiệp TN Hiệu Vàng Gia Nguyên,"chỉ: Ki Ốt 19, Chợ Hòa Cường Bắc, Phường Hoà Cường Bắc, Quận Hải Châu, Thành Phố Đà Nẵng, Hòa Thuận Nam, Hải Châu, Đà Nẵng, Việt Nam",Hải Châu,,,+84 914 430 309,,4.5,0,,https://www.google.com/maps/place/Doanh+Nghi%E1%BB%87p+TN+Hi%E1%BB%87u+V%C3%A0ng+Gia+Nguy%C3%AAn/data=!4m7!3m6!1s0x314219b8fecae883:0x69e25a0fe310fefa!8m2!3d16.0431752!4d108.2181396!16s%2Fg%2F11c5sxft78!19sChIJg-jK_rgZQjER-v4Q4w9a4mk?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:36:56
52,Hiệu vàng Phúc Hội,"chỉ: 14 Đ. Chi Lăng, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3823 299,,4.2,43,,https://www.google.com/maps/place/Hi%E1%BB%87u+v%C3%A0ng+Ph%C3%BAc+H%E1%BB%99i/data=!4m7!3m6!1s0x31421835a3c5c5ab:0xf4f6f05b33e3dfee!8m2!3d16.0699525!4d108.215108!16s%2Fg%2F1thmhggp!19sChIJq8XFozUYQjER7t_jM1vw9vQ?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:00
53,Cửa Hàng Trang Sức PNJ 411 Lê Duẩn Đà Nẵng,"chỉ: 411 Lê Duẩn, Chính Gián, Thanh Khê, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 1800 545457,,4.9,411,,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+411+L%C3%AA+Du%E1%BA%A9n+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142184b7e462687:0x5ea33ec2ec3100ad!8m2!3d16.0677362!4d108.208276!16s%2Fg%2F11f2dqqw2k!19sChIJhyZGfksYQjERrQAx7MI-o14?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:04
54,Hiệu Vàng Ngọc Vân Nam,"chỉ: 254 Hùng Vương, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,,,4.5,17,,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+Ng%E1%BB%8Dc+V%C3%A2n+Nam/data=!4m7!3m6!1s0x3142196ddfddfd31:0x9aeac8a18c7a0cc3!8m2!3d16.06773!4d108.2156636!16s%2Fg%2F11j6bfklq_!19sChIJMf3d320ZQjERwwx6jKHI6po?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:09
55,Hiệu Vàng Hạnh Phú Cường Jewelry,"chỉ: 281 Ông Ích Khiêm, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3866 677,,5.0,12,http://hanhphucuongjewelry.com/,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+H%E1%BA%A1nh+Ph%C3%BA+C%C6%B0%E1%BB%9Dng+Jewelry/data=!4m7!3m6!1s0x314218356254539b:0x562343dede8561cf!8m2!3d16.0665848!4d108.2143103!16s%2Fg%2F1wv_pq3v!19sChIJm1NUYjUYQjERz2GF3t5DI1Y?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:13
56,Hiệu Vàng Kim Dung Thủy,"chỉ: 292 Ông Ích Khiêm, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,,,3.9,18,https://map.coccoc.com/map/10900964491195637,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+Kim+Dung+Th%E1%BB%A7y/data=!4m7!3m6!1s0x3142184a7973a17f:0x4fd70384004ec181!8m2!3d16.0686278!4d108.2135792!16s%2Fg%2F11h7s4g1mf!19sChIJf6FzeUoYQjERgcFOAIQD108?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:18
57,Tiệm Vàng Kim Dung Hảo,"chỉ: 292 Hùng Vương, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3689 127,,4.5,16,,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+Kim+Dung+H%E1%BA%A3o/data=!4m7!3m6!1s0x3142184a8228a083:0x53e0f0230bf771b4!8m2!3d16.0672837!4d108.2138312!16s%2Fg%2F11b67tx60t!19sChIJg6AogkoYQjERtHH3CyPw4FM?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:22
58,HIỆU VÀNG DŨNG LAN,"chỉ: 5 Nguyễn Quang Bích, Hòa Cường, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 905 499 228,,4.6,11,,https://www.google.com/maps/place/HI%E1%BB%86U+V%C3%80NG+D%C5%A8NG+LAN/data=!4m7!3m6!1s0x3142190043e17fd3:0xf19253e65f10e6d!8m2!3d16.0418434!4d108.2125485!16s%2Fg%2F11vk7hxxwx!19sChIJ03_hQwAZQjERbQ7xZT4lGQ8?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:26
59,"Vàng Bạc Kim Khánh, Việt Hùng","chỉ: 159A Tôn Đức Thắng, Hoà Minh, Cẩm Lệ, Đà Nẵng 550000, Việt Nam",Cẩm Lệ,,,,,3.6,79,,"https://www.google.com/maps/place/V%C3%A0ng+B%E1%BA%A1c+Kim+Kh%C3%A1nh,+Vi%E1%BB%87t+H%C3%B9ng/data=!4m7!3m6!1s0x3142191a1603919b:0x4a382a6d622e39b3!8m2!3d16.058259!4d108.1736057!16s%2Fg%2F11h54zwdg_!19sChIJm5EDFhoZQjERszkuYm0qOEo?authuser=0&hl=vi&rclk=1",google_maps,False,2026-03-14 08:37:31
60,Hiệu Vàng Bạc Ngọc Ánh,"chỉ: 26RR+QXG, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 50000, Việt Nam",Ngũ Hành Sơn,,,+84 935 525 366,,5.0,9,,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+B%E1%BA%A1c+Ng%E1%BB%8Dc+%C3%81nh/data=!4m7!3m6!1s0x314217577115e711:0x99dfb882de975d58!8m2!3d16.0419375!4d108.2424375!16s%2Fg%2F11x6mgs1k7!19sChIJEecVcVcXQjERWF2X3oK435k?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:35
61,Cửa Hàng Trang Sức PNJ 123 Hùng Vương Đà Nẵng,"chỉ: 123 Hùng Vương, P, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3818 666,,4.9,123,http://pnj.com.vn/,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+123+H%C3%B9ng+V%C6%B0%C6%A1ng+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314218344c230c1f:0xda25fcf24ac4b5ae!8m2!3d16.0678544!4d108.2173039!16s%2Fg%2F1hc5dz6_6!19sChIJHwwjTDQYQjERrrXESvL8Jdo?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:40
62,Tiệm Bạc Nhật Phương,"chỉ: 40 K 38 Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sơn Trà,,,+84 935 236 691,,4.4,17,https://www.facebook.com/Hi%E1%BB%87u-B%E1%BA%A1c-Nh%E1%BA%ADt-Ph%C6%B0%C6%A1ng-2156729704603576/,https://www.google.com/maps/place/Ti%E1%BB%87m+B%E1%BA%A1c+Nh%E1%BA%ADt+Ph%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3142175bd5ad7b8d:0xd251837976e2a8a0!8m2!3d16.0563402!4d108.2386096!16s%2Fg%2F11g22w_qy1!19sChIJjXut1VsXQjERoKjidnmDUdI?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:44
63,Hoa Kim Nguyên - Vàng bạc - Trang Sức - Đá Quý,"chỉ: 270 Ông Ích Khiêm, Chính Gián, Thanh Khê, Đà Nẵng 50000, Việt Nam",Hải Châu,,,+84 342 553 739,,2.3,18,,https://www.google.com/maps/place/Hoa+Kim+Nguy%C3%AAn+-+V%C3%A0ng+b%E1%BA%A1c+-+Trang+S%E1%BB%A9c+-+%C4%90%C3%A1+Qu%C3%BD/data=!4m7!3m6!1s0x314219b5dcb31ab3:0x76bc3cd11838ec2b!8m2!3d16.0693056!4d108.2134372!16s%2Fg%2F11y9czcdnw!19sChIJsxqz3LUZQjERK-w4GNE8vHY?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:48
64,Hiệu Vàng Ngọc Diệp,"chỉ: 94 Lý Thái Tổ, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Việt Nam",Thanh Khê,,,+84 935 326 556,,4.2,24,,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+Ng%E1%BB%8Dc+Di%E1%BB%87p/data=!4m7!3m6!1s0x3142184cc647a59b:0x2dd84d565ce7d1a1!8m2!3d16.0663967!4d108.208273!16s%2Fg%2F1tfttfw0!19sChIJm6VHxkwYQjERodHnXFZN2C0?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:52
65,Hiệu Vàng Tín Đức,"chỉ: Chợ Nguyễn Tri Phương/Lô 8 Nguyễn Quang Bích, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 905 661 145,,4.5,0,,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+T%C3%ADn+%C4%90%E1%BB%A9c/data=!4m7!3m6!1s0x314219bfde7a807b:0xffa65cf62fcdb2ab!8m2!3d16.0425342!4d108.2121387!16s%2Fg%2F11csrypfn6!19sChIJe4B63r8ZQjERq7LNL_Zcpv8?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:37:56
